Resort_Id,Resort_Image,Resort_Name,Type,City,Address,Rating,Min_Price,Max_Price,Lat,Long
1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/7093c3e9-0d69-44a9-8010-3c51c0b7e8d1-1604151059629-dcf20fc2e2ddcdaf5afd53bb8cfbe34a.jpg,MaxoneHotels at Dharmahusada Surabaya,Hotel,Gubeng Surabaya,Jl. Dharmahusada No.189. Mojo. Gubeng. Kota SBY. Jawa Timur 60285. Indonesia,4.3,350250,1148820,-7.2674349,112.7711245
2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/05/10/161d0e43-e474-41ab-9b39-806d503b85ac-1620621307658-21c39a0b15596c6f50602bc986143452.jpg,D Carol Hotel Surabaya,Hotel,Bubutan Surabaya,Jl. Gundih No. 8. Gundih. Kec. Bubutan. Kota Surabaya. Jawa Timur. Indonesia,4.2,195000,224250,-7.247228,112.72946
3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/78f1cc53-fab5-42dc-a48a-654585d2b9af-1604170357265-18dda4c6f1b8a909db85a6966faf43b0.jpg,Choice City Hotel,Hotel,Bubutan Surabaya,Bubutan. Surabaya City. East Java 60174. Indonesia,4.4,269997,374996,-7.25599,112.733686
4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/14/00618b5d-7451-4ccf-9ad8-b0271403f279-1631591122423-8be985e7bbdda20f68b9cd0b6ae0e62f.jpg,G Suites Hotel By AMITHYA,Hotel,Gubeng Surabaya,Jl. Raya Gubeng No.43. Gubeng. Kec. Gubeng. Kota SBY. Jawa Timur,4.0,343000,2254000,-7.273623,112.747475
5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/28/b8fc5fb8-013c-4dfb-85f2-1060b4c70913-1611825908276-1a3407721e1341ac038f988715fb3b9d.jpg,Royal Regantris Cendana formerly Royal Singosari Cendana,Hotel,Tegalsari Surabaya,Jl. Kombes Pol. Moh. Duryat No.6. Tegalsari. Kec. Tegalsari. Kota SBY. Jawa Timur,4.3,389996,1199988,-7.268379,112.739621
6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/30/926a9e4c-cd11-47ec-b0d8-529aae29a977-1632992723027-a7610ba2da86cce645bd67e088af4806.jpg,Livinn Taman Melati Surabaya,Hotel,Mulyorejo Surabaya,Jl. Mulyorejo Utara No.201. RT.006/RW.001. Mulyorejo. Kec. Mulyorejo. Mulyorejo. Surabaya. Jawa Timur. Indonesia. 60115,4.1,224999,249999,-7.261569,112.78547
7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/01/10/a80c76c4-f3df-4c5f-8d9e-804e46aa3029-1610251521716-b02af7092e8d9278dcafd2689eadbec3.jpg,Hotel Great Diponegoro Surabaya,Hotel,Wonokromo Surabaya,Jalan Diponegoro No.215. Surabaya. Jawa Timur 60241,4.3,324997,619994,-7.279568,112.730086
8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/698b37f1-f06f-4497-9894-b25789322801-1604178059944-03515eda333baac64bd43a20bbbfde50.jpg,Arimbi Stay,Hotel,Gayungan Surabaya,Jl. Cipta Menanggal Utara 66 Surabaya,4.2,299997,524995,-7.341528,112.721507
9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/c7a1f3ef-d280-43b4-9d15-f987fe2c8955-1603898459469-0c2f8f27e1849c5805a85063c4c0fa71.jpg,Cleo Hotel Basuki Rahmat Surabaya,Hotel,Genteng Surabaya,Jl. Jenderal Basuki Rachmat No.11. Embong Kaliasin. Kec. Genteng. Kota SBY. Jawa Timur,4.0,315000,315000,-7.263531,112.741318
10,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/28/897c677b-c4ff-4c7f-a0f5-ccdc77ce1970-1648433500619-e0d81ad07c3651ce9b3c855b658acc35.jpg,ASTON Inn Jemursari,Hotel,Wonocolo Surabaya,Jl. Sidosermo II No. 70. Surabaya,4.5,381429,750000,-7.311514,112.749716
