,Hotel Image,Hotel Name,Tiper Properti,City,Address,Hotel Rating,Min,Max,Facilities,Lattitute,Longitude
35,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/05/bfb15d7f-1e55-4cdd-ab7d-1b6b8c2ea120-1649138123021-b184982598c13d2327dd3cadffdd2140.jpg,Camping Ground Bukit Tinatar,"<div class=""property-type"">Bumi Perkemahan</div>","Piyungan, Bantul","Jombor, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",Belum ada rating,204000,549000,"['tiket CLEAN', 'Parkir', 'tiket CLEAN', 'Parkir', 'Parkir (Gratis)', 'Resepsionis 24 Jam', 'tiket CLEAN']",-7.859243,110.465721
36,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/12/c7949676-b1d5-470d-8644-c4a1b714742c-1649747748261-4a9c242e026983f3402f457048780c95.jpg,Teratai Biru River Camping Ground,"<div class=""property-type"">Bumi Perkemahan</div>","Piyungan, Bantul","Jl. Klenggotan, Menguten, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",Belum ada rating,204000,314000,"['tiket CLEAN', 'Parkir', 'Area Outbound', 'tiket CLEAN', 'Parkir', 'Area Outbound', 'Ruang Merokok', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Area Outbound', 'tiket CLEAN']",-7.824185,110.452763
37,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/733fe748-9a38-4940-95f8-e39e066ee9f9-1616072449543-22979a4f56a841bbbac1937be391729e.jpg,Dea Lokha Hotel,"<div class=""property-type"">Hotel</div>","Wonosari, Gunung Kidul","Jl. K.H. Agus salim No. 146 Ledoksari, Wonosari Yogyakarta",4.0,280579,383598,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Penyimpanan Barang', 'AC', 'Lounge', 'Fasilitas rapat', 'WiFi Publik', 'Parkir (Gratis)', 'Gazebo', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Penitipan Bagasi', 'Layanan Concierge', 'Resepsionis 24 Jam']",-7.956485,110.591959
38,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/72b04fdd-0982-46db-a86c-250ab037efea-1604119927928-396f46a67150c18338b8789d43dd9a12.jpg,Alzara Hotel Syariah,"<div class=""property-type"">Hotel</div>","Wonosari, Gunung Kidul","RT 02 RW 04 Pedukuhan Bansari, Kelurahan Kepek, Wonosari, Gunungkidul, DI Yogyakarta",4.1,281246,368000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Ramah Difabel', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Fasilitas Ramah Difabel', 'Teras', 'Ruang Merokok', 'AC', 'WiFi Publik', 'Ruang Tamu', 'ATM/Bank', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam', 'Layanan Laundry/Dry Cleaning', 'Check-out Tanpa Antre']",-7.96791,110.59235
39,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/6efa119c-bd34-4082-921c-a3f19243ece1-1616071542863-17515e56ad898e931529c752ca2c2beb.jpg,OYO Life 3003 Wisma Handayani Syariah,"<div class=""property-type"">Hotel</div>","Wonosari, Gunung Kidul","Jalan Taman Bhakti, Wonosari, Kabupaten Gunung Kidul, Yogyakarta",3.8,115641,136667,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'AC', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Penitipan Bagasi', 'Staf Multibahasa', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam']",-7.959937,110.603171
40,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/16/12751bee-abfa-4c3d-8f04-6fc02d34f56d-1605509070107-3cb6685203de867b4dc75cb2b146e009.jpg,Kopilimo Cafe & Homestay,"<div class=""property-type"">Guest House</div>","Patuk, Gunung Kidul",Jalan Patuk Ngoro Oro RT 20 RW 04 Sumbertetes Patuk Gunungkidul Yogyakarta,3.4,287367,588889,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Fasilitas Ramah Difabel', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Fasilitas Ramah Difabel', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Tur', 'Resepsionis 24 Jam']",-7.840697,110.49313
41,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/29/3c6fdaca-a603-4748-9ad1-ed66ed45f962-1603916272753-8276dc56586541bcf87c5abb515b9714.jpg,Omah Sundak Homestay,"<div class=""property-type"">Homestay</div>","Tepus, Gunung Kidul","Pantai Sundak Desa Sidoharjo RT 04 / RW 009, Tepus, Gunung Kidul,Yogyakarta 55881",3.3,224999,1799999,"['tiket CLEAN', 'Parkir', 'AC', 'Pemandangan Laut', 'tiket CLEAN', 'Parkir', 'AC', 'Pemandangan Laut', 'Teras', 'Ruang Merokok', 'Pantai', 'AC', 'Tempat berjemur', 'Ruang merokok khusus', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Check-in Tanpa Antre']",-8.146524,110.60687
42,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/04/01/ee389efe-32ff-4a8e-98e8-0c9bf11679cf-1617258309940-bfd0877ef660cc53c63143278e2fd59a.jpg,Rock Garden Homestay & Resto,"<div class=""property-type"">Guest House</div>","Tepus, Gunung Kidul","Jl. Pantai Selatan Jawa, Desa Tepus, Kec. Tepus, Gunung Kidul, Yogyakarta, 55881",4.1,182379,451527,"['tiket CLEAN', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Pemandangan Laut', 'Penyimpanan Barang', 'tiket CLEAN', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Pemandangan Laut', 'Penyimpanan Barang', 'Teras', 'Pantai', 'AC', 'Tempat berjemur', 'Restoran', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Penitipan Bagasi', 'Staf Multibahasa', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam']",-8.145208,110.609602
43,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/97f11c17-7e2b-42e6-9fc5-290e4b790d3a-1604173960861-22bc3d30a34342bdc4a7b7c76ab4725b.jpg,Hotel Kukup Indah,"<div class=""property-type"">Guest House</div>","Tepus, Gunung Kidul","Pantai Kukup, Jl. Pantai Selatan Jawa. Dusun Ngepung, Kemadang, Tanjung Sari, Gunung kidul, Yogyakarta",3.2,164001,502147,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Antar Jemput Bandara', 'Teras', 'AC', 'Parkir (Biaya Tambahan)', 'WiFi Publik', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam']",-8.130858,110.555582
44,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/0ca907d1-b1ae-423e-9555-a6be0face128-1615557369204-ee79fc88973c772b1b540386553d3d8c.jpg,OYO 2634 Griya Birowo Syariah,"<div class=""property-type"">Hotel</div>","Wonosari, Gunung Kidul","Jl. Baron No.34, Purwosari, Baleharjo, Wonosari, Gunung Kidul, Yogyakarta",4.1,121018,170850,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Ruang Merokok', 'AC', 'Lounge', 'Ruang merokok khusus', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",-7.972103,110.602151
