,Hotel Image,Hotel Name,City,Address,Hotel Rating,Max,Min,Facilities,Lattitute,Longitude
58,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/4810596c-a610-49d7-8743-b35fc97cb94c-1615541753363-a1ba8e652a4b68872249f9f456674ac2.jpg,RedDoorz @ Pataruman Garut,"Tarogong Kidul, Garut","Jl. Pataruman, Pataruman, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat",3.6,212850,292050,"['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Pusat Kebugaran', 'Penyimpanan Barang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Pusat Kebugaran', 'Penyimpanan Barang', 'Fitness', 'Fasilitas Gym', 'Teras', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan']",-7.201174,107.893263
59,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/09/562638d6-8af4-449c-a0e9-b4d8ed2b941c-1652103317312-e4b7b896a30699942c3b67965e12925c.jpg,G double L,"Caringin, Garut",Ranca buaya pantai cidora,Belum ada rating,268000,268000,"['Parkir', 'AC', 'Parkir', 'AC', 'AC', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Teras atau Balkon']",-7.524094,107.477292
60,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/77657d9e-7b54-472d-b88d-f8eee6a76d97-1615541721186-884efdc94b1afab8ea65a8546956a812.jpg,Darajat 4R Cottage Syariah,"Pasirwangi, Garut","Karyamekar, Pasirwangi, Garut Regency, West Java 44161, Indonesia, Garut",4.0,298900,298900,"['tiket CLEAN', 'WiFi', 'Parkir', 'tiket CLEAN', 'WiFi', 'Parkir', 'Teras', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",-7.218198,107.751142
61,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/e90c7a19-c213-438e-a376-77bcba9b2b6e-1604135547873-a4a6cbf056a8a29112298ebe4d828d56.jpg,Hazza Homestay Syariah,"Tarogong Kaler, Garut","Gerbang Hitam samping RM, Alfamart, Sebelah POM Bensin sebrang, Jl. Kp. Malayu, Mekarwangi, Tarogong Kaler",3.7,162893,315000,"['Parkir', 'Parkir', 'Teras', 'Ruang Merokok', 'ATM/Bank', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Gazebo', 'Hewan Peliharaan Tidak Diperbolehkan', 'Staf Multibahasa']",-7.210852,107.857971
62,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/02/23/1d263d0a-0388-4d3f-9228-b61508218ec6-1645581921599-d312f9c95167f18ee6149055c0531ad4.jpg,RedDoorz Premium @ Joglo Garut Cottage Syariah,"Tarogong Kidul, Garut","Jl. Proklamasi No.45, Jayaraga, Kec. Tarogong Kidul, Kabupaten Garut, Jawa Barat 44151, Indonesia",3.8,280286,488565,"['tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'AC', 'tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'AC', 'AC', 'WiFi Publik', 'Kolam Renang', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",-7.194599,107.898484
63,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/30/02aedc3d-fd6e-4d8e-868d-c3ca307aa195-1648581331307-35be1b65b2e263c1512d1b5ea5571861.jpg,SPOT ON 90921 Wisma Pkpn 2,"Cilawu, Garut","79B, Garut, Jawa Barat, Indonesia, Garut",3.7,53702,87780,"['WiFi', 'Resepsionis 24 Jam', 'AC', 'WiFi', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Check-out Tanpa Antre', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam', 'Shower']",-7.234181,107.906974
64,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/09/28/1ead6ffd-4cfb-4760-abe9-7ee064af45aa-1632778498404-be4cced280025871fac07dd23d6909c2.jpg,Yokotel City,"Cicendo, Bandung",Jl doktor radjiman no 3,4.5,291243,378386,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Restoran', 'Resepsionis 24 Jam', 'Kotak P3K', 'Detektor Asap', 'Parkir di hotel', 'Keamanan 24 jam']",-6.903819622679966,107.59827595593367
65,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/adef91b5-37f5-49b8-b9f7-6f18c77716c4-1615560338572-197b694e7c9c409d4d53b807d4e612f6.jpg,OYO 2562 Pondok Tajlibu Syifa Syariah,"Sukajadi, Bandung","Jl. Sederhana No.29/61, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia, Bandung",3.1,84270,102880,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'Ruang Merokok', 'AC', 'Ruang merokok khusus', 'WiFi Publik', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Penitipan Bagasi', 'Staf Multibahasa', 'Resepsionis 24 Jam']",-6.894593,107.598491
66,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/2e720750-a51f-40d5-8fa9-f5bb43a0b3ad-1604122736674-370d6fd65254e04c1900f6a87f97d964.jpg,Bobobox Paskal,"Cicendo, Bandung","Jl. Pasir Kaliki No.76A, Pasir Kaliki, Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia",4.5,250000,250000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Teras', 'Ruang Merokok', 'AC', 'Tempat berjemur', 'Ruang merokok khusus', 'WiFi Publik', 'Mesin Penjual Otomatis', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Staf Multibahasa', 'Resepsionis 24 Jam']",-6.910288,107.598085
67,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/5fd4b9dd-7f73-41f4-994d-37e1f7ca7c4c-1615562740053-88f5c4b1175c94875ad2f5907f999a05.jpg,RUMAH TAMU CIUMBULEUIT,"Cidadap, Bandung",JALAN GUNUNG KENCANA NO 3 RT 06 RW 06 KELURAHAN CIUMBULEUIT KECAMATAN CIDADAP KOTA BANDUNG,4.4,164500,164500,"['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Bola Basket', 'Ruang Merokok', 'Parkir (Biaya Tambahan)', 'ATM/Bank', 'Ruang merokok khusus', 'WiFi Publik', 'Ruang Tamu', 'Gazebo', 'Hewan Peliharaan Tidak Diperbolehkan']",-6.871889,107.608375
