,Hotel Image,Hotel Name,Tiper Properti,City,Address,Hotel Rating,Min,Max,Facilities,Lattitute,Longitude
117,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/28250128-2fa6-4266-83c0-b5cc3f13ebba-1604155664861-0fc6bd4ff4b3da6b46066272d55469b9.jpg,RedDoorz Syariah Near Exit Toll Banyumanik,Guest House,"Banyumanik, Semarang","Jl. Sawunggaling Sel. No.1, Padangsari, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50267, Indonesia",4.3,133781,260480,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'AC', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",-7.073275,110.432265
118,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/04/27/45f9a0a0-611e-4828-9f45-30bb6739c498-1619519725705-78d2606494d0c86b06707d82b3051a01.jpg,RedDoorz Plus near Kawasan Sam Poo Kong Semarang,Hotel,"Semarang Barat, Semarang","Jl. Simongan No.191, Ngemplak Simongan, barat, Kota Semarang, Jawa Tengah 50148, Indonesia",4.1,201590,271932,"['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Ruang Merokok', 'AC', 'Ruang merokok khusus', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",-7.002731,110.393588
119,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/4349751d-8fef-4f46-815b-5f602fbe161a-1604181116628-44658f4a5b1aa7cd366cdc376ead5e53.jpg,Studio Inn And Suite Semarang,Hotel,"Gajahmungkur, Semarang","Jl. Rinjani No.10D, Bendungan, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah",3.9,235000,275000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Penyimpanan Barang', 'AC', 'WiFi Publik', 'Lift', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Brankas Hotel', 'Penitipan Bagasi', 'Staf Multibahasa', 'Resepsionis 24 Jam']",-7.0011111,110.4086111
120,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/02/18/b6726527-62dc-42ef-ac91-714331cbee1d-1613643632210-44ee17a1d45a6791008800f844187b62.jpg,DS CoLive Layur Kota Lama,Hotel,"Semarang Utara, Semarang","Jl. Layur No. 115, Dadapsari, Kec. Semarang Utara, Kota Semarang, Jawa Tengah, Indonesia",3.8,158000,158000,"['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",-6.964957,110.421663
121,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/07/dd46da19-239f-4a09-b402-e521c0cf86a6-1662535083225-0b7809deaca53ab6e80cce51357bf0d3.jpg,OYO 91473 Wisma Husada 1 Semarang,Hotel,"Semarang Barat, Semarang","Jl. Abdulrahman Saleh No.89 A, Kalibanteng Kulon, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50145, Jalan Lebdosari VI, RW 03, Kalibanteng Kidul, Semarang Barat, Semarang, Jawa Tengah, 50148, Indonesia, Semarang",Belum ada rating,83334,83334,"['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Check-out Tanpa Antre', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam', 'Parkir untuk difabel']",-6.992988,110.37986
122,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/16/8b125876-d76b-4432-95ad-bf0d410241b9-1605467183391-12e3cdd610a284a3dbcc5c3f6145e1c1.jpg,Sunrise Hotel Semarang,Hotel,"Pedurungan, Semarang","Jln Soekarno Hatta No. 97, Kota Semarang, Jawa Tengah 50196",4.0,232874,415000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'AC', 'Fasilitas Ramah Difabel', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'AC', 'Fasilitas Ramah Difabel', 'Penyimpanan Barang', 'Teras', 'Ruang Merokok', 'AC', 'WiFi Publik', 'Restoran', 'Ruang Tamu', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Staf Multibahasa']",-6.981651,110.453108
123,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/11/01/8aeae95d-3241-4c7d-b9cb-e0fb7b84b880-1604173452614-abf8461f69d6b6406b9e76cdfbe047c6.jpg,Kost Harian Semarang Murah,Kos,"Gayamsari, Semarang","Jl. Patiunus VI No.21, Pandean Lamper, Kec. Gayamsari, Kota Semarang, Jawa Tengah 50166, Indonesia",4.3,110249,212499,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'AC', 'Penyimpanan Barang', 'AC', 'WiFi Publik', 'Porter/Bell-boy', 'Parkir (Gratis)', 'Penitipan Bagasi', 'Check-in Tanpa Antre', 'Layanan Laundry/Dry Cleaning', 'Check-out Tanpa Antre', 'Check-in Lebih Awal', 'Printer', 'Check-out Terlambat', 'Keamanan']",-6.988539,110.443714
124,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/12/83f5261d-0436-4381-9259-05ae204df8e9-1641974473990-526ba23c8b45d78d0307e42929228917.jpg,Wisma Purba Danarta,Homestay,"Gajahmungkur, Semarang","Jalan Veteran No.7, Semarang Selatan, Mugassari, Semarang Sel., Kota Semarang, Jawa Tengah 50231, Indonesia",3.6,95000,195000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Penyimpanan Barang', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Staf Multibahasa', 'Resepsionis 24 Jam']",-6.9962,110.414912
125,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/2ae46199-76fa-454c-81b1-c2fa33c97f8e-1615552371464-2d49eba8405913ef2fd9a1a6724bdec7.jpg,DS CoLive Sinabung,Hotel,"Candisari, Semarang",Jl Sinabung V No 49,3.7,140623,188000,"['tiket CLEAN', 'WiFi', 'Parkir', 'AC', 'Fasilitas Ramah Difabel', 'tiket CLEAN', 'WiFi', 'Parkir', 'AC', 'Fasilitas Ramah Difabel', 'Teras', 'AC', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Check-in Tanpa Antre']",-7.014985,110.42339
126,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/a4cc982e-3cd5-4000-a71a-984e7399987a-1604149751465-84661015ec0752422a56e85a28beb853.jpg,Hotel Olympic Semarang,Hotel,"Semarang Utara, Semarang","Jl. Imam Bonjol No.126, Sekayu, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132",3.8,170000,220000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Fasilitas Rapat', 'Penyimpanan Barang', 'Ruang Merokok', 'AC', 'Fasilitas rapat', 'Ruang merokok khusus', 'WiFi Publik', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",-6.974509,110.413475
