413,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/5a31c1ba-62a6-45d0-b344-fc594bf3027b-1615562784061-b465037d01bffc835b0d23865e91ef9e.jpg,Kamar Pluit By Beranda Istirahat,Guest House,Penjaringan Jakarta Utara,Jl. Pluit Tim. Raya No.11B. RT.10/RW.9. Pluit. Kec. Penjaringan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14450,3.4,202500,225000,-6.119089,106.793696
414,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/10/16/7f9556f1-1299-46d9-9d3c-13abdf5c778c-1634366424953-f736c44b7a36c46aa0aad7365e94a5f9.jpg,Grandboutique-Inn,Apartment,Penjaringan Jakarta Utara,grandboutique-inn.Jl. Pluit karang ayu blok B1 Utara Greenbay Pluit Tower B-LGM-30 North Jakarta. 14450. Indonesia,3.5,343272,475500,-6.108740999999999,106.7788116
415,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/16/37f2f8cd-eabe-4e5c-9b1b-016d4e513f5a-1663299941564-04bb5d106077c589dd9a7971804121b0.jpg,Studio Apartemen Baywalk Green Bay Pluit Estetika Nyaman,Apartment,Penjaringan Jakarta Utara,l. Pluit Karang Ayu 1 No.B1. RT.20/RW.2. Pluit. Kec. Penjaringan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14450,Belum ada rating,268000,268000,-6.108622,106.778157
416,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/28/cfc2ace5-5a8b-48fa-a746-a34c9682fd7e-1603886167024-c857c98231cfa4c0125871d49442767a.jpg,Neo Hotel Mangga Dua by ASTON,Hotel,Ancol Jakarta Utara,<p>Gunung Sahari Raya no.1. Rukan Mangga Dua Square Blok A No. 10</p>,4.1,443265,614680,-6.135813,106.830974
417,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/816d03a8-2feb-4f07-93ab-8834db64cba5-1604150080490-1107e37f0bf7ad06789bd4ed044d8de2.jpg,DAERA Smarthomm Ancol Jakarta,Hotel,Ancol Jakarta Utara,Jl. R. E. Martadinata No.12. RT.6/RW.5. Kota Tua. Ancol. Pademangan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14430. Indonesia,4.1,200000,400000,-6.13114,106.82808
418,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/04/7264d9ad-0c15-41dc-9a8c-07c4232c6354-1636010136015-c14991da75c7f1031204e119bb438dc4.jpg,Cordex Hotel Ancol,Hotel,Ancol Jakarta Utara,Jalan Lodan Raya No.2 . Lodan Center Complex Blok A/9. Ancol. Jakarta,4.3,285000,285000,-6.1298857,106.817011
419,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/27/ca0331ff-6ad8-4c45-922d-0aea46a6715e-1653654917359-822605b815730273bd55d0d805dc6e37.jpg,Hotel Aruni Ancol,Hotel,Ancol Jakarta Utara,Jl. R. E. Martadinata No.10. RW.4. Ancol. Kec. Pademangan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14430,3.6,158400,400000,-6.131233,106.826658
420,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/12/0b11093a-58ee-4ebd-b964-9eb9ea84b31f-1615563181523-6750da3e1bef1402389435e16685d9bc.jpg,OYO 3735 Liv Hotel,Hotel,Ancol Jakarta Utara,4. Jl. R. E. Martadinata No.12M. RT.6/RW.5. Ancol. Jakarta. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta,3.9,228777,241588,-6.131254,106.8277618
421,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/09/05/aec66fc3-8a2d-477d-b4ca-c9e8bcb55d6a-1662321648111-2bd8c34ee34d6b167d24473d03bead1b.jpg,SmartHomm Hotel,Hotel,Ancol Jakarta Utara,Jalan R E Martadinata no. 12A,4.5,180000,360000,-6.131139699999999,106.82808039999998
422,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/02/10/0e714a5d-a12a-4d56-a00e-b642beb13f96-1612957513592-0620f02ec2605427fc4a29541e73edbf.jpg,Ancol Homestay,Hotel,Ancol Jakarta Utara,Jl. Lodan Raya No.2. RT.8/RW.11. Kota Tua. Ancol. Kec. Pademangan. Kota Jkt Utara. Daerah Khusus Ibukota Jakarta 14430. Indonesia,2.5,250000,250000,-6.128982,106.829017
